"","id","K"
"0","0",0.25
"1","1",0.25
"2","2",0
"3","3",0.819047619047619
"4","4",0.777777777777778
"5","5",0.5
"6","6",2
"7","7",1
"8","8",1.5
"9","9",1.25
"10","10",0.166666666666667
"11","11",0.733333333333333
"12","12",2.5
"13","13",0.666666666666667
"14","14",0
"15","15",1
"16","16",2
"17","17",2.5
"18","18",1.25
"19","19",0.666666666666667
"20","20",0.866666666666667
"21","21",2
"22","22",1.66666666666667
"23","23",1.11111111111111
"24","24",0.5
"25","25",0.416666666666667
"26","26",1.25
"27","27",0.333333333333333
"28","28",0.633333333333333
"29","29",0.5
"30","30",0.272727272727273
"31","31",0.333333333333333
"32","32",0
"33","33",0
"34","34",2.5
"35","35",1
"36","36",4.25
"37","37",2.5
"38","38",1.5
"39","39",0.666666666666667
"40","40",0.913461538461538
"41","41",0.476190476190476
"42","42",1
"43","43",0.333333333333333
"44","44",1.00882352941176
"45","45",1.15384615384615
"46","46",0.2
"47","47",0.5
"48","48",2.66666666666667
"49","49",0.2
"50","50",1.5
"51","51",1.05263157894737
"52","52",0.258823529411765
"53","53",1.5
"54","54",1
"55","55",0.166666666666667
"56","56",0.166666666666667
"57","57",0.6
"58","58",0.8
"59","59",0.6
"60","60",2
"61","61",2.25
"62","62",1
"63","63",2.51111111111111
"64","64",0.452631578947368
"65","65",1
"66","66",1
"67","67",1.2
"68","68",0
"69","69",0.333333333333333
"70","70",0.666666666666667
"71","71",0.666666666666667
"72","72",1.14285714285714
"73","73",0
"74","74",0
"75","75",1
"76","76",0.166666666666667
"77","77",0.94047619047619
"78","78",1
"79","79",0.5
"80","80",1.4
"81","81",1
"82","82",0.333333333333333
"83","83",0.583333333333333
"84","84",0.633333333333333
"85","85",0
"86","86",1.6
"87","87",0
"88","88",0.653846153846154
"89","89",0.333333333333333
"90","90",1.25
"91","91",1.48571428571429
"92","92",1.33333333333333
"93","93",2.2
"94","94",0.653846153846154
"95","95",1.30263157894737
"96","96",0.375
"97","97",0.75
"98","98",3.16666666666667
"99","99",0
"100","100",0.333333333333333
"101","101",1.28571428571429
"102","102",0.444444444444444
"103","103",3
"104","104",0.75
"105","105",2.5
"106","106",0
"107","107",0.2
"108","108",0.7
"109","109",2.33333333333333
"110","110",0
"111","111",0
"112","112",0.611111111111111
"113","113",0.819047619047619
"114","114",1.25
"115","115",0
"116","116",0.666666666666667
"117","117",0.166666666666667
"118","118",1.25
"119","119",0.666666666666667
"120","120",0.125
"121","121",1.5
"122","122",2
"123","123",1.66666666666667
"124","124",1
"125","125",0.5
"126","126",0.722222222222222
"127","127",0.333333333333333
"128","128",2.93939393939394
"129","129",1.96111111111111
"130","130",0.333333333333333
"131","131",0.166666666666667
"132","132",1
"133","133",0.333333333333333
"134","134",1
"135","135",0.6
"136","136",0.5
"137","137",0.452631578947368
"138","138",0.5
"139","139",0.5
"140","140",0.25
"141","141",1
"142","142",0.333333333333333
"143","143",0.5
"144","144",0.5
"145","145",1.2
"146","146",0.701298701298701
"147","147",1.5
"148","148",1
"149","149",0
"150","150",3.16666666666667
"151","151",0.2
"152","152",0.8
"153","153",0.913461538461538
"154","154",1.5
"155","155",1
"156","156",1
"157","157",2.33333333333333
"158","158",1
"159","159",1
"160","160",0.733333333333333
"161","161",0.833333333333333
"162","162",1.5
"163","163",1
"164","164",2
"165","165",0.2
"166","166",0
"167","167",3
"168","168",0.714285714285714
"169","169",0.666666666666667
"170","170",0
"171","171",1
"172","172",1.66666666666667
"173","173",2.30882352941176
"174","174",4.25
"175","175",0.2
"176","176",1.2
"177","177",0.7
"178","178",2
"179","179",1
"180","180",0.452631578947368
"181","181",0.4
"182","182",0.142857142857143
"183","183",1.73333333333333
"184","184",3.2
"185","185",0.8
"186","186",0.75
"187","187",1.33333333333333
"188","188",0.5
"189","189",2
"190","190",0.0714285714285714
"191","191",0.416666666666667
"192","192",3.28571428571429
"193","193",0.606060606060606
"194","194",1
"195","195",0.7
"196","196",0.5
"197","197",0.7
"198","198",1.6
"199","199",1.8
"200","200",3.11111111111111
"201","201",1.5
"202","202",0.714285714285714
"203","203",0.555555555555556
"204","204",1
"205","205",1.09090909090909
"206","206",0.166666666666667
"207","207",0.142857142857143
"208","208",0.484444444444444
"209","209",1
"210","210",5
"211","211",0.666666666666667
"212","212",0.833333333333333
"213","213",0.5
"214","214",1.5
"215","215",1
"216","216",0
"217","217",1.5
"218","218",0
"219","219",1.58333333333333
"220","220",1.16666666666667
"221","221",0.777777777777778
"222","222",0.476190476190476
"223","223",4.11111111111111
"224","224",0.611111111111111
"225","225",1.25
"226","226",0.166666666666667
"227","227",0.5
"228","228",0.333333333333333
"229","229",1
"230","230",0.454545454545455
"231","231",0.5
"232","232",0.5
"233","233",0
"234","234",0.583333333333333
"235","235",0
"236","236",0.25
"237","237",0.5
"238","238",1.75
"239","239",0.666666666666667
"240","240",0.583333333333333
"241","241",0.906666666666667
"242","242",1.25
"243","243",0.6
"244","244",0.5
"245","245",0.6
"246","246",1.4
"247","247",1.6
"248","248",1
"249","249",1
"250","250",1.25
"251","251",0.666666666666667
"252","252",0.5
"253","253",1
"254","254",2.33333333333333
"255","255",1
"256","256",0.866666666666667
"257","257",0.666666666666667
"258","258",1.5
"259","259",1.28571428571429
"260","260",2.5
"261","261",1.53333333333333
"262","262",0.558823529411765
"263","263",0
"264","264",2.14285714285714
"265","265",0.666666666666667
"266","266",0
"267","267",2
"268","268",1.5
"269","269",3
"270","270",1
"271","271",0.333333333333333
"272","272",2
"273","273",2
"274","274",2
"275","275",1
"276","276",1.58333333333333
"277","277",1
"278","278",1
"279","279",1.25
"280","280",0.321428571428571
"281","281",1.28571428571429
"282","282",0.583333333333333
"283","283",1
"284","284",1.73333333333333
"285","285",0.4
"286","286",0.7
"287","287",0.666666666666667
"288","288",3.28571428571429
"289","289",0.625
"290","290",0.416666666666667
"291","291",0.321428571428571
"292","292",1.5
"293","293",1.05263157894737
"294","294",0.5
"295","295",1
"296","296",0
"297","297",0.555555555555556
"298","298",0.166666666666667
"299","299",3
"300","300",0
"301","301",1
"302","302",1.125
"303","303",2
"304","304",1.25
"305","305",1.5
"306","306",2.33333333333333
"307","307",1.2
"308","308",3
"309","309",2.66666666666667
"310","310",1.66666666666667
"311","311",2.25
"312","312",0.566666666666667
"313","313",0.625
"314","314",2
"315","315",1
"316","316",1
"317","317",0.6
"318","318",1
"319","319",0
